mmsi,fpi_proxy_legacy,ecp_proxy_legacy,fpi_proxy_scientific,ecp_proxy_scientific,environment_score,temperature_score,salinity_score,productivity_score,hydrodynamic_score,behavior_score,fpi_delta,ecp_delta
352003421,0.7153165418652145,0.7153165418652145,0.3623,0.4082,0.6661,0.9129,0.9192,0.1156,0.5882,0.3451,-0.35301654186521453,-0.30711654186521453
352003697,0.922247191011236,0.922247191011236,0.3907,0.4417,0.7244,0.9177,0.9137,0.0982,1.0,0.3661,-0.5315471910112359,-0.480547191011236
352003830,0.6025830258302582,0.6025830258302582,0.1702,0.1883,0.7322,0.9192,0.9173,0.1244,1.0,0.1591,-0.4323830258302582,-0.4142830258302582
352003893,0.6990033222591362,0.6990033222591362,0.1526,0.1687,0.7063,0.9142,0.918,0.1096,0.8639,0.1437,-0.5464033222591362,-0.5303033222591362
352003939,0.6239234449760765,0.6239234449760765,0.0198,0.0216,0.722,0.9103,0.9251,0.0914,1.0,0.0186,-0.6041234449760765,-0.6023234449760766
352004222,0.4,0.4,0.008,0.0087,0.73,0.9147,0.9198,0.1206,1.0,0.0075,-0.392,-0.39130000000000004
352004254,0.4,0.4,0.008,0.0087,0.7295,0.9155,0.9213,0.1161,1.0,0.0075,-0.392,-0.39130000000000004
352004256,0.4,0.4,0.016,0.0174,0.7275,0.9144,0.9182,0.1122,1.0,0.015,-0.384,-0.38260000000000005
352004327,0.7051369863013699,0.7051369863013699,0.1397,0.1543,0.6375,0.9141,0.9177,0.1093,0.4069,0.1342,-0.56543698630137,-0.5508369863013699
352004384,0.4,0.4,0.016,0.0174,0.7274,0.9152,0.9178,0.111,1.0,0.015,-0.384,-0.38260000000000005
352004454,0.7868698710433764,0.7868698710433764,0.276,0.3085,0.6613,0.9132,0.9172,0.1123,0.5632,0.2633,-0.5108698710433763,-0.47836987104337636
352004480,0.4,0.4,0.008,0.0087,0.7281,0.9116,0.9246,0.1143,1.0,0.0075,-0.392,-0.39130000000000004
352004491,0.4,0.4,0.016,0.0174,0.7283,0.9125,0.9267,0.1117,1.0,0.015,-0.384,-0.38260000000000005
352004514,0.4,0.4,0.0159,0.0173,0.706,0.914,0.9179,0.1123,0.8586,0.015,-0.3841,-0.38270000000000004
352004532,0.6325411334552102,0.6325411334552102,0.1132,0.1247,0.6529,0.912,0.9248,0.1163,0.4938,0.1082,-0.5193411334552103,-0.5078411334552102
352004711,0.6412520064205458,0.6412520064205458,0.1051,0.1156,0.7266,0.9172,0.9116,0.1097,1.0,0.0984,-0.5361520064205458,-0.5256520064205458
352004713,0.4,0.4,0.008,0.0087,0.7234,0.9122,0.9237,0.1156,0.966,0.0075,-0.392,-0.39130000000000004
352004849,0.7327239488117001,0.7327239488117001,0.3861,0.4362,0.649,0.9162,0.918,0.1214,0.4569,0.3696,-0.3466239488117001,-0.29652394881170013
352004866,0.4,0.4,0.0078,0.0085,0.6335,0.9123,0.9233,0.1358,0.3331,0.0075,-0.39220000000000005,-0.3915
352004900,0.7433333333333334,0.7433333333333334,0.2626,0.2932,0.6269,0.9125,0.9176,0.1188,0.3248,0.253,-0.4807333333333334,-0.4501333333333334
352005200,0.4,0.4,0.0158,0.0172,0.6846,0.9112,0.9227,0.1138,0.7139,0.015,-0.38420000000000004,-0.38280000000000003
352005277,0.4,0.4,0.008,0.0087,0.7261,0.9135,0.9205,0.1175,0.9817,0.0075,-0.392,-0.39130000000000004
352005287,0.4,0.4,0.008,0.0087,0.7297,0.9151,0.9182,0.1201,1.0,0.0075,-0.392,-0.39130000000000004
352005363,0.4,0.4,0.016,0.0174,0.7281,0.9166,0.9176,0.1118,1.0,0.015,-0.384,-0.38260000000000005
352005506,0.7292307692307693,0.7292307692307693,0.2195,0.2438,0.6464,0.9174,0.9186,0.1293,0.4229,0.2103,-0.5097307692307693,-0.48543076923076933
352005565,0.6572283150548355,0.6572283150548355,0.3638,0.4091,0.6734,0.9188,0.9178,0.1309,0.5972,0.3458,-0.29342831505483546,-0.24812831505483546
352005653,0.6254777070063695,0.6254777070063695,0.1024,0.1127,0.6073,0.9113,0.918,0.1055,0.2187,0.0992,-0.5230777070063695,-0.5127777070063695
352006093,0.4,0.4,0.008,0.0087,0.7292,0.9156,0.919,0.1167,1.0,0.0075,-0.392,-0.39130000000000004
352006159,0.7890880748246298,0.7890880748246298,0.3852,0.4353,0.612,0.9141,0.9162,0.1174,0.2249,0.3727,-0.40388807482462985,-0.3537880748246298
352006367,0.6544675642594859,0.6544675642594859,0.3309,0.3697,0.7058,0.9202,0.9174,0.1202,0.8279,0.3117,-0.3235675642594859,-0.28476756425948596
352070000,0.6153690596562185,0.6153690596562185,0.1554,0.1718,0.6652,0.915,0.9175,0.1218,0.5681,0.1481,-0.4599690596562185,-0.44356905965621846
352157000,0.7991861648016276,0.7991861648016276,0.4321,0.4908,0.6195,0.9151,0.9186,0.1267,0.2537,0.4172,-0.36708616480162765,-0.3083861648016276
352544000,0.815668202764977,0.9788018433179724,0.1868,0.2069,0.7117,0.9303,0.9143,0.1329,0.8233,0.1756,-0.628868202764977,-0.7719018433179724
352578000,0.6967032967032967,0.6967032967032967,0.195,0.2163,0.702,0.9169,0.9158,0.1257,0.8043,0.1839,-0.5017032967032966,-0.4804032967032967
352745000,0.6960384153661465,0.6960384153661465,0.1705,0.1888,0.6313,0.9138,0.9144,0.1301,0.3357,0.164,-0.5255384153661465,-0.5072384153661466
